"periodo";"nivel_general_aperturas";"indice_icc";"Clasificador"
"2023-02-01";"Carpinteria metalica y herreria";214.960664399457;"Ítems"
"2023-02-01";"Carpinteria de madera";219.510487980927;"Ítems"
"2023-02-01";"Ascensores";202.873592370904;"Ítems"
"2023-02-01";"Vidrios";237.406461922208;"Ítems"
"2023-02-01";"Pintura";191.769302271539;"Ítems"
"2023-02-01";"Otros trabajos y gastos";207.070207790726;"Ítems"
"2023-03-01";"Movimiento de tierras";215.223117039356;"Ítems"
"2023-03-01";"Estructura";220.185152069549;"Ítems"
"2023-03-01";"Albanileria";214.186494347802;"Ítems"
"2023-03-01";"Yeseria";226.058208867111;"Ítems"
"2023-03-01";"Instalacion sanitaria y contraincendio";245.684372441511;"Ítems"
"2023-03-01";"Instalacion de gas";225.533760793829;"Ítems"
"2023-03-01";"Instalacion electrica";234.894693138069;"Ítems"
"2023-03-01";"Carpinteria metalica y herreria";222.14616204224;"Ítems"
"2023-03-01";"Carpinteria de madera";231.747194820534;"Ítems"
"2023-03-01";"Ascensores";212.932433803388;"Ítems"
"2023-03-01";"Vidrios";254.828903266038;"Ítems"
"2023-03-01";"Pintura";212.916109916923;"Ítems"
"2023-03-01";"Otros trabajos y gastos";214.315317199293;"Ítems"
"2023-04-01";"Movimiento de tierras";229.799746544182;"Ítems"
"2023-04-01";"Estructura";237.117762768753;"Ítems"
"2023-04-01";"Albanileria";231.786868206686;"Ítems"
"2023-04-01";"Yeseria";246.121376704646;"Ítems"
"2023-04-01";"Instalacion sanitaria y contraincendio";262.930342951183;"Ítems"
"2023-04-01";"Instalacion de gas";240.786780354892;"Ítems"
"2023-04-01";"Instalacion electrica";251.399373443044;"Ítems"
"2023-04-01";"Carpinteria metalica y herreria";248.552829390043;"Ítems"
"2023-04-01";"Carpinteria de madera";250.348870272753;"Ítems"
"2023-04-01";"Ascensores";230.86385309932;"Ítems"
"2023-04-01";"Vidrios";277.963013485073;"Ítems"
"2023-04-01";"Pintura";224.366757683146;"Ítems"
"2023-04-01";"Otros trabajos y gastos";245.438299652098;"Ítems"
"2023-05-01";"Movimiento de tierras";248.768636886581;"Ítems"
"2023-05-01";"Estructura";254.229885689918;"Ítems"
"2023-05-01";"Albanileria";249.066561384567;"Ítems"
